unique_id,metric,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_N07,mse,169689485788.44238,129104974028.7399,101149580531.63339,83011876502.14128,24325652712.814735,24325652712.814735,425467494354.54755,111165184943.34055
IN_P01,mse,4712176929.770493,699599074.8866456,7750967633.138652,7623750020.65562,6853990897.859667,6853990897.859667,32383263236.836536,8390794551.8250885
IN_P02,mse,1734678.5,284611584.9123535,1902143.8125,1627098.75,284611584.91235363,182843177.50325552,735553272.5028415,44221682.03703301
IN_P03,mse,6773347909.5625,57502454870.38319,15339381112.5625,12990771977.0625,7012582632.230602,1406808374.9551077,1835313565.521639,3819731842.8793306
IN_R01,mse,168354480614.03696,89861314742.94867,312273974206.23486,314094148325.6868,88004990245.85545,88004990245.85545,114067713307.03053,181321577045.70688
IN_R02,mse,1001208235582.7789,477376066895.0076,233247548723.474,694885036539.4885,477376066895.0081,995906521668.1848,310656998286.8492,381933567499.7242
IN_R03,mse,8753084307060.359,1602256547222.4175,4553615997004.677,4853475462881.81,7693485491792.527,7992400713683.92,8609910739639.389,6667925438536.33
IN_R05,mse,467717187427.1075,371466935741.6288,38064965468.63229,131986562123.88348,188376536997.61438,188376536997.61438,135236286187.85611,48342801010.10472
IN_R06,mse,5505659225526.486,1226482634850.1387,2733339690005.6377,3394134482164.8643,1226482634850.1426,1226482634850.1426,2924811785035.8247,4220303070066.832
IN_R07,mse,4840808.0,584877923.390625,7172865.0,9912308.0,98161992.97135112,98161992.97135112,98156785.1252251,105760169.79643074
IN_S01,mse,3981380379645.375,246081238170.05515,38223024814.5856,2756229257451.59,246081238170.05426,703617058769.4517,224049284916.06464,127952142963.75415
IN_S02,mse,1934095585898.4963,1946935475430.672,2162261917808.84,2447653428289.7144,1946935475430.672,1946935475430.672,1812205591141.9382,1883132462256.996
IN_S03,mse,4915625011212.0625,4341235454502.679,5014105740394.943,5037820427020.545,4341235454502.6787,4341235454502.6787,4436290996390.549,4326803007606.8076
IN_V03,mse,375380965036.73364,205772809698.82037,243211001334.66025,1388232272818.5676,286045992111.6158,585250290120.0474,459737789932.87085,289030561047.13043
