unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_S02,2020-10-01,mae,1021559.7042865258,1003777.2732812499,1034513.3799053456,930898.9657211094
IN_S03,2020-10-01,mae,516613.06472274795,528568.56846875,532007.773722687,541669.5546184478
IN_V03,2020-10-01,mae,553063.5017693307,557485.23175,568622.6599980402,649028.5885271439
IN_V04,2020-10-01,mae,369123.5424545191,355149.3715625,352304.7333903978,513941.71001035406
IN_V07,2020-10-01,mae,49343.629871542864,66802.334375,60906.543633722904,62329.883113328055
IN_A01,2021-10-01,mae,434065.6826569835,552542.3152500001,555124.6845313899,493592.8151326614
IN_A02,2021-10-01,mae,1183675.3187553887,1174868.1909999999,1514005.9082047923,617946.0942410443
IN_A03,2021-10-01,mae,342691.9399356721,302205.1825,222756.85784811265,529473.7672885862
IN_A04,2021-10-01,mae,290765.8085049541,351285.82787499996,363914.79471532785,147594.03718227934
IN_A05,2021-10-01,mae,64850.34052451459,92462.9056015625,3834.9062336020725,379593.962920431
IN_A06,2021-10-01,mae,4363707.440451331,3805547.5962500004,1970053.980473239,5065753.242315527
IN_A07,2021-10-01,mae,178341.11771843416,266002.170625,172515.21024060878,544433.553379084
IN_A09,2021-10-01,mae,46922.97249958926,109030.140625,62047.679575094124,391623.1365959008
IN_A10,2021-10-01,mae,627766.6064666,1124785.1825,1376039.4565422279,401434.68376324093
IN_A11,2021-10-01,mae,171022.1693595356,112702.80528125001,130324.12799377055,274839.7923741532
IN_A12,2021-10-01,mae,10441797.072806709,10549530.125,10488965.647983035,9949226.685245192
IN_A16,2021-10-01,mae,110073.07379201589,109911.88690624999,110277.604126242,441068.2949279569
IN_B01,2021-10-01,mae,143576.98771186272,207045.812125,161281.13334864058,484233.6066814834
IN_B02,2021-10-01,mae,1043677.9438903285,927579.8535000001,921634.8327816816,1198498.9339548931
IN_B03,2021-10-01,mae,432220.38520878984,415721.503,395091.1048176167,232302.9303576301
IN_B05,2021-10-01,mae,8758576.299929652,11433085.622125,8588646.932446046,9314351.32329632
IN_B06,2021-10-01,mae,51619.05178940836,140053.9453125,62505.93340243165,395351.47537284874
IN_C01,2021-10-01,mae,356589.06158001866,353975.430875,330628.3598201264,452285.0281572465
IN_C02,2021-10-01,mae,567451.449980936,555788.2835,602735.3600097188,268459.4061618291
